Cons,Cod,NombreMateria,Area,Cred,COPRE,HabValClas
1,303117,FundamentosdeMatematicas,Matematicas,3,--,H
2,303118,MatematicasBasicas,Matematicas,4,--,HVC
3,305115,FundamentaciónenCiencias,Ciencias,4,--,--
4,311150,FundamentaciónenAstronomía,Astronomía,3,--,HV
5,302150,FundamentaciónenComputación,Computación,2,--,HV
6,305120,CatedraUniversitariaI,SocioHumanística,2,--,--
7,303157,CalculoI,Matematicas,5,-PR-0303118,HV
8,303208,AlgebraLineal,Matematicas,5,-PR-0303118-PR-0302150-PR-0303117,HV
9,302270,FísicaBasicaI,Física,4,-PR-0303118-CO-0303157,HV
10,302271,FísicaExperimentalI,Fïsica,2,-CO-0302270-PR-0302150,--
11,311302,AstronomíaPracticaI,Astronomía,2,-PR-0311150-PR-0302150,--
12,303207,CalculoII,Matematicas,5,-PR-0303157,HV
13,302390,MétodosComputacionales,Computación,3,-PR-0303208-PR-0302150,HV
14,302391,FísicaBasicaII,Física,4,-PR-0303157-PR-0302270,HV
15,302392,FísicaExperimentalII,Física,2,-CO-0302391-PR-0302271,--
16,311411,AstronomíadePosición,Astronomía,3,-PR-0311302,HV
17,305121,CatedraUniversitariaII,SocioHumanística,1,-PR-0305120,--
18,303267,CalculoAvanzado,Matematicas,4,-PR-0303207,HV
19,303257,EcuacionesDiferencialesOrdinarias,Matematicas,4,-PR-0303207-PR-0303208,HV
20,302401,FísicaBasicaIII,Física,4,-CO-0303257-PR-0302391,HV
21,302402,FísicaExperimentalIII,Física,2,-CO-0302401-PR-0302391-PR-0302392,--
22,311610,AstronomíaPracticaII,Astronomía,2,-PR-0311411-PR-0311302-PR-0302401,--
23,302576,FísicaMatematicaI,Física,4,-PR-0303267-PR-0303257,HV
24,311602,MecanicaCeleste,Astronomía,4,-PR-0303257-CR-0302401,H
25,302571,FísicaBasicaIV,Física,4,-PR-0302401-CO-0302576,HV
26,311502,CienciasPlanetarias,Astronomía,3,-PR-0302401-PR-0311411,HV
27,305122,CatedraUniversitariaIII,SocioHumanística,1,-PR-0305121,--
28,302670,FísicaMatematicaII,Física,4,-PR-0302576,HV
29,302570,MecanicadeMediosContinuos,Física,4,-PR-0302576-PR-0302401-PR-0302390,HV
30,311603,AstrofísicaModerna,Astronomía,4,-PR-0302571,HV
31,311710,AstronomíaPracticaIII,Astronomía,2,-PR-0311610-PR-0311603-CO-0311603,--
32,305127,InglésI,Idiomas,2,--,VC
33,302136,Electrodinamica,Física,4,-PR-0302670-PR-0311602,HV
34,311703,RelatividadyGravitación,Astronomía,4,-CO-0302136-CR-0311603,HV
35,311704,AstrofísicaEstelar,Astronomía,4,-PR-0311603-PR-0302136,HV
36,305123,CatedraUniversitariaIV,SocioHumanística,2,-PR-0305122,--
37,305128,InglésII,Idiomas,2,-PR-0305127-CR-36,VC
38,302138,MecanicaCuantica,Física,4,-PR-0311603-PR-0302136,HV
39,311803,GalaxiasyCosmología,Astronomía,4,-PR-0311703-PR-0302570-CO-0311803,HV
40,305124,CatedraUniversitariaV,SocioHumanística,2,-PR-0305123-CR-115,--
41,305129,InglésIII,Idiomas,2,-PR-0305128,VC
42,311804,ComunicaciónyDidacticaCiencias,SocioHumanística,2,-CR-120,--
43,311903,SeminariodeTrabajodeGrado,Astronomía,4,-CR-130,--
44,305125,CatedraUniversitariaVI,SocioHumanística,1,-PR-0305124,--
45,305130,InglésIV,Idiomas,2,-PR-0305129-CR-86,VC
46,305126,CatedraUniversitariaVII,SocioHumanística,1,-PR-0305125,--
47,311902,TrabajodeGrado,Astronomía,6,-PR-0311905,--
