CIUDAD,MES,Amanecer,Atardecer,Luz_Solar
Medellin,1,06:17:00,18:05:00,11:48:00
Medellin,2,06:19:00,18:14:00,11:55:00
Medellin,3,06:10:00,18:14:00,12:04:00
Medellin,4,05:56:00,18:10:00,12:14:00
Medellin,5,05:47:00,18:10:00,12:23:00
Medellin,6,05:48:00,18:17:00,12:29:00
Medellin,7,05:54:00,18:22:00,12:28:00
Medellin,8,05:57:00,18:17:00,12:20:00
Medellin,9,05:53:00,18:03:00,12:10:00
Medellin,10,05:49:00,17:49:00,12:00:00
Medellin,11,05:51:00,17:42:00,11:51:00
Medellin,12,06:03:00,17:49:00,11:46:00
Toronto,1,07:49:00,17:03:00,09:14:00
Toronto,2,07:19:00,17:44:00,10:25:00
Toronto,3,07:34:00,19:20:00,11:46:00
Toronto,4,06:38:00,19:58:00,13:20:00
Toronto,5,05:55:00,20:33:00,14:38:00
Toronto,6,05:35:00,21:00:00,15:25:00
Toronto,7,05:48:00,20:58:00,15:10:00
Toronto,8,06:20:00,20:55:00,14:35:00
Toronto,9,06:54:00,19:33:00,12:39:00
Toronto,10,07:29:00,18:39:00,11:10:00
Toronto,11,07:09:00,16:55:00,09:46:00
Toronto,12,07:42:00,16:41:00,08:59:00
Ciudad_cabo,1,05:49:00,20:01:00,14:12:00
Ciudad_cabo,2,06:19:00,19:41:00,13:22:00
Ciudad_cabo,3,06:44:00,19:08:00,12:24:00
Ciudad_cabo,4,07:07:00,18:26:00,11:19:00
Ciudad_cabo,5,07:30:00,17:55:00,10:25:00
Ciudad_cabo,6,07:49:00,17:44:00,09:55:00
Ciudad_cabo,7,07:50:00,17:54:00,10:04:00
Ciudad_cabo,8,07:28:00,18:15:00,10:47:00
Ciudad_cabo,9,06:49:00,18:36:00,11:47:00
Ciudad_cabo,10,06:07:00,18:58:00,12:51:00
Ciudad_cabo,11,05:36:00,19:25:00,13:49:00
Ciudad_cabo,12,05:29:00,19:52:00,14:23:00
